Sky Ref Number,Outlet Type,Food Offering,BT Sports Pub,Preferential Sports,Number of TVs,Carling,Molson Coors
182781000004,,,No,,1,Yes,IOP - tier 3
116650900004,,,No,,1,Yes,IOP - not eligible
101297500004,,,No,,1,No,Wholesale
184313500004,,,No,,1,Yes,IOP - tier 3
185032300004,,,No,,1,Yes,IOP - tier 2
183172900004,,,No,,1,Yes,IOP - not eligible
110972900004,,,No,,1,Yes,IOP - tier 3
103758500004,,,No,,1,Yes,IOP - not eligible
184463300004,,,No,,1,Yes,IOP - tier 3
184317100004,,,No,,1,Yes,IOP - tier 2
185265600004,,,No,,1,Yes,IOP - tier 3
184394700004,,,No,,1,Yes,IOP - tier 3
184396200004,,,No,,1,Yes,IOP - tier 3
103134300004,,,Yes,,1,No,IOP - not eligible
101251500004,,,No,,1,Yes,IOP - tier 3
184158100004,,,Yes,,1,Yes,IOP - not eligible
101073300004,,,No,,1,Yes,Wholesale
103382900004,,,No,,1,Yes,IOP - tier 3
183850100004,,,No,,1,Yes,IOP - not eligible
100922100004,,,No,,1,Yes,IOP - tier 3
110569800004,,,No,,0,Yes,IOP - tier 3
183836100004,,,No,,1,Yes,IOP - tier 3
117259700004,,,No,,1,Yes,IOP - tier 3
183405300004,,,No,,1,Yes,IOP - not eligible
182882700004,,,No,,1,Yes,IOP - tier 3
139428000004,,,No,,1,Yes,IOP - tier 3
103983100004,,,No,,0,Yes,IOP - tier 2
184469200004,,,No,,1,Yes,IOP - tier 3
125251500004,,,No,,0,Yes,IOP - tier 3
184736900004,,,No,,1,Yes,Wholesale
182481700004,,,No,,1,Yes,IOP - tier 3
185807300004,,,No,,1,No,Wholesale
184470100004,,,No,,1,Yes,IOP - tier 3
100503500004,,,No,,1,Yes,IOP - tier 3
101120500004,,,Yes,,1,Yes,IOP - tier 2
184389700004,,,No,,0,No,Wholesale
184496500004,,,No,,1,No,IOP - not eligible
184287900004,,,No,,1,Yes,IOP - tier 3
184425900004,,,No,,1,Yes,IOP - tier 3
184249400004,,,No,,1,No,Wholesale
181923000004,,,No,,1,Yes,IOP - tier 3
182121500004,,,No,,1,Yes,IOP - tier 2
136769000004,,,No,,0,No,IOP - tier 3
120719100004,,,No,,1,No,Wholesale
105108100004,,,No,,1,Yes,IOP - not eligible
181400102505,,,Yes,,1,No,Wholesale
102879800004,,,No,,1,Yes,IOP - tier 3
184407100004,,,Yes,,1,Yes,IOP - tier 3
184047700005,,,No,,1,Yes,IOP - tier 3
132064000004,,,No,,0,Yes,IOP - tier 3
184308000004,,,No,,1,Yes,IOP - tier 2
139245800004,,,No,,1,Yes,IOP - tier 3
184910800004,,,No,,0,Yes,IOP - tier 3
182588900004,,,No,,1,No,IOP - tier 3
185475000004,,,No,,1,Yes,IOP - tier 3
104916300004,,,No,,1,Yes,IOP - tier 3
183993300004,,,No,,1,Yes,IOP - tier 3
100784200004,,,No,,1,Yes,IOP - tier 2
138447100004,,,No,,0,No,Wholesale
185576200004,,,No,,1,Yes,IOP - tier 3
185420800004,,,No,,1,Yes,IOP - tier 3
184552000004,,,No,,1,Yes,IOP - tier 3
184203700004,,,Yes,,1,No,Wholesale
185108100004,,,No,,1,Yes,Wholesale
105548600004,,,No,,1,Yes,IOP - tier 2
183150400004,,,No,,1,Yes,IOP - tier 2
184505000004,,,No,,1,Yes,IOP - tier 3
183840400004,,,Yes,,1,Yes,IOP - tier 3
100427500004,,,No,,1,Yes,IOP - tier 3
185310500004,,,No,,1,No,IOP - not eligible
180934200004,,,No,,0,Yes,IOP - tier 2
104755200004,,,No,,1,Yes,IOP - tier 2
181473200022,,,No,,1,Yes,Wholesale
184966100004,,,No,,0,No,IOP - not eligible
101995700004,,,No,,1,Yes,IOP - not eligible
125137800004,,,No,,1,Yes,IOP - tier 3
100013000164,,,No,,1,No,Wholesale
185903100004,,,Yes,,1,Yes,IOP - tier 2
182038200004,,,No,,1,Yes,IOP - tier 3
180370300004,,,No,,1,Yes,IOP - tier 3
139624900004,,,No,,0,Yes,IOP - tier 2
182410100004,,,No,,1,Yes,Wholesale
104791300004,,,No,,1,Yes,IOP - tier 3
142144800004,,,No,,1,No,IOP - tier 3
182839500004,,,No,,1,No,IOP - tier 3
185246300004,,,No,,1,No,Wholesale
184494500004,,,No,,1,Yes,IOP - tier 3
181319700004,,,No,,1,Yes,IOP - tier 3
101540200004,,,Yes,,1,No,IOP - tier 2
185283700004,,,No,,1,Yes,IOP - tier 2
105395300004,,,No,,1,Yes,IOP - tier 3
184459900004,,,No,,1,Yes,IOP - not eligible
185247500004,,,No,,1,Yes,Wholesale
183082900004,,,No,,1,Yes,IOP - tier 3
118694700004,,,No,,0,Yes,IOP - tier 2
183510800004,,,No,,1,Yes,IOP - tier 2
103039800004,,,No,,1,Yes,IOP - not eligible
185517500004,,,No,,1,Yes,IOP - tier 3
184498300004,,,No,,1,Yes,IOP - tier 3
184534100004,,,No,,1,Yes,IOP - tier 2
183074800004,,,No,,1,Yes,IOP - tier 3
141230300004,,,No,,0,No,IOP - not eligible
104572700004,,,No,,0,Yes,IOP - not eligible
184517000004,,,No,,1,Yes,IOP - tier 3
185544900004,,,No,,1,Yes,IOP - tier 3
184535800004,,,No,,1,Yes,IOP - not eligible
184644400004,,,No,,1,Yes,IOP - tier 3
182233000004,,,No,,0,No,Wholesale
118719600004,,,No,,1,Yes,IOP - not eligible
185402700004,,,No,,1,Yes,IOP - tier 2
184734600004,,,No,,1,No,IOP - tier 3
126898800004,,,No,,1,Yes,IOP - tier 2
185298900004,,,No,,1,Yes,IOP - tier 3
129387500004,,,No,,0,Yes,IOP - tier 2
184614700004,,,No,,1,Yes,IOP - tier 3
127117800004,,,No,,1,No,IOP - tier 3
104754100004,,,No,,1,No,IOP - tier 3
184569400004,,,No,,1,Yes,IOP - tier 3
184592400004,,,No,,1,Yes,IOP - not eligible
133859200004,,,No,,1,Yes,IOP - tier 3
183780900004,,,No,,1,Yes,IOP - tier 2
180741100004,,,No,,1,Yes,IOP - tier 2
102163700004,,,No,,1,Yes,IOP - tier 3
135766100004,,,No,,1,Yes,IOP - tier 3
183795000004,,,No,,1,Yes,IOP - tier 3
184575300004,,,No,,1,Yes,IOP - tier 3
140337900004,,,No,,0,No,IOP - tier 2
184291700004,,,No,,1,Yes,IOP - tier 2
185496900004,,,No,,1,Yes,IOP - not eligible
180075600004,,,No,,1,Yes,IOP - tier 2
124973400004,,,No,,1,Yes,IOP - tier 3
183022600004,,,No,,1,No,Wholesale
103216700004,,,No,,1,Yes,IOP - not eligible
184578300004,,,Yes,,1,No,Wholesale
104729600004,,,No,,1,No,IOP - tier 3
102404200004,,,No,,1,Yes,IOP - tier 3
100077700004,,,Yes,,1,Yes,IOP - tier 3
185456300004,,,No,,1,Yes,IOP - tier 3
184527400004,,,No,,1,Yes,IOP - tier 3
181413600004,,,No,,1,Yes,IOP - tier 3
184468700004,,,Yes,,1,Yes,IOP - not eligible
185118300006,,,No,,1,No,IOP - tier 3
