Sky Ref Number,Outlet Type,Food Offering,BT Sports Pub,Preferential Sports,Number of TVs,Carling,Molson Coors
100017300134,Other Venue,everyday traditional,No,,1,No,
100045300045,Other Venue,everyday traditional,No,,0,No,
100045300033,Other Venue,everyday traditional,No,,0,No,
101628600004,Other Venue,fine dining,No,,1,Yes,
100708600004,Other Venue,bar snacks,No,,1,No,
104888400004,Other Venue,everyday traditional,No,,1,No,
100018200101,Other Venue,everyday traditional,Yes,,1,Yes,
103510300004,Other Venue,bar and kitchen,No,,1,No,
100023100010,Other Venue,bar snacks,No,,1,No,
103144300004,Other Venue,bar and kitchen,No,,1,No,
103136200004,Other Venue,fine dining,Yes,,1,No,
100017300117,Other Venue,everyday traditional,No,,1,No,
100045300037,Other Venue,everyday traditional,No,,0,No,
100015100063,Other Venue,everyday traditional,No,,1,No,Wholesale
100045300024,Other Venue,everyday traditional,No,,0,No,
184243900050,Other Venue,everyday traditional,No,,1,Yes,Wholesale
100045300014,Other Venue,everyday traditional,No,,0,No,
100017300195,Other Venue,everyday traditional,No,,1,No,
100011800014,Other Venue,everyday traditional,No,,1,No,
100017300069,Other Venue,everyday traditional,No,,1,No,
105272000004,Other Venue,everyday traditional,No,,1,No,
100011800010,Other Venue,everyday traditional,No,,1,No,
100045300006,Other Venue,everyday traditional,No,,0,No,
181445700216,Local Pub - Wet Led,everyday traditional,No,,0,No,
181317500004,Restaurant,everyday traditional,No,,1,No,Wholesale
139395900004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
103070400004,Restaurant,everyday traditional,No,,1,No,Wholesale
100798500004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
180775500004,Restaurant,bar and kitchen,No,,0,Yes,IOP - tier 3
139771300004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
109250000004,Restaurant,bar and kitchen,No,,1,Yes,IOP - not eligible
104677700004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
103082300004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
105568900004,Restaurant,everyday traditional,No,,1,Yes,IOP - not eligible
102192000004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
103546100004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
180419500004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
102657000004,Restaurant,everyday traditional,No,,1,Yes,IOP - not eligible
103236700004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
181524800004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
117470100004,Restaurant,everyday traditional,Yes,,1,Yes,IOP - tier 3
107151600004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 2
136483000004,Restaurant,everyday traditional,No,,0,Yes,IOP - tier 3
141750400004,Restaurant,everyday traditional,No,,0,No,Wholesale
183688400015,Restaurant,everyday traditional,No,,1,No,IOP - tier 3
100035300025,Restaurant,everyday traditional,No,,1,No,Wholesale
100035300005,Restaurant,everyday traditional,No,,1,No,Wholesale
140481800004,Restaurant,everyday traditional,No,,0,No,IOP - tier 2
100799100004,Restaurant,everyday traditional,No,,1,No,IOP - tier 3
105777000004,Restaurant,everyday traditional,No,,1,No,Wholesale
108933600004,Restaurant,everyday traditional,No,,0,Yes,IOP - not eligible
184491400004,Restaurant,everyday traditional,No,,1,No,Wholesale
123742000004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
183478400019,Restaurant,everyday traditional,No,,1,No,IOP - tier 2
184345900006,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
180760900004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
136512600004,Restaurant,everyday traditional,No,,0,No,IOP - tier 3
180778800004,Restaurant,everyday traditional,No,,0,No,Wholesale
111889700004,Restaurant,everyday traditional,No,,1,Yes,IOP - tier 3
133123300004,Restaurant,everyday traditional,No,,0,Yes,IOP - tier 2
180859700004,Restaurant,bar and kitchen,No,,1,Yes,IOP - tier 3
