Sky Ref Number,Outlet Type,Food Offering,BT Sports Pub,Preferential Sports,Number of TVs,Carling,Molson Coors
102864900004,,,No,,1,Yes,PL Pub - Core
180758900004,,,Yes,,1,No,PL Pub - Core
103641700004,working men's club,everyday traditional,No,,1,Yes,PL Pub - Core
134581100004,local pub wet led,fine dining,Yes,,1,Yes,PL Pub - Upweighted
185514500004,,,No,,1,Yes,PL Pub - Core
184339100004,,,Yes,,1,Yes,PL Pub - Core
100814200004,,,No,,1,Yes,PL Pub - Core
103989200004,other sports club,bar and kitchen,No,,1,Yes,PL Pub - Core
100011800011,,,No,,1,No,PL Pub - Core
184420500004,local pub wet led,everyday traditional,No,,1,Yes,PL Pub - Core
184044100004,local pub wet led,everyday traditional,No,,1,Yes,PL Pub - Core
107139900004,,,No,,1,No,PL Pub - Core
180449800004,,,Yes,,1,Yes,PL Pub - Core
136848600004,hotel,everyday traditional,Yes,,1,Yes,PL Pub - Core
100569000004,,,No,,1,Yes,PL Pub - Core
100105200004,working men's club,everyday traditional,No,,1,Yes,PL Pub - Core
111728800004,,,No,,1,Yes,PL Pub - Core
101678500004,local pub dry led,everyday traditional,No,,1,Yes,PL Pub - Core
186032400004,,,No,,1,No,PL Pub - Core
186315800004,,,No,,1,No,PL Pub - Core
184063200004,,,No,,1,Yes,PL Pub - Core
103742500004,,,No,,1,Yes,PL Pub - Core
104848800004,,,No,,1,Yes,PL Pub - Core
185983800004,,,Yes,,1,Yes,PL Pub - Upweighted
102504600004,,,No,,1,Yes,PL Pub - Core
100667900004,,,No,,1,Yes,PL Pub - Core
186271800004,,,No,,1,No,PL Pub - Core
183075400004,,,No,,1,Yes,PL Pub - Core
104825300004,,,No,,1,Yes,PL Pub - Core
102996700004,gastro pub,bar and kitchen,Yes,,1,Yes,PL Pub - Core
105269800004,working men's club,everyday traditional,No,,1,Yes,PL Pub - Core
185277800004,,,No,,1,Yes,PL Pub - Core
137610000004,,,No,,1,Yes,PL Pub - Core
103027400004,,,Yes,,1,Yes,PL Pub - Core
184630200004,,,No,,1,No,PL Pub - Core
184384300004,,,No,,1,No,PL Pub - Core
102341600004,other sports club,everyday traditional,No,,1,Yes,PL Pub - Core
142372300004,,,No,,1,No,PL Pub - Core
186009200004,,,No,,1,No,PL Pub - Core
104374700004,,,No,,1,Yes,PL Pub - Core
119342500004,high street bar,everyday traditional,No,,1,Yes,PL Pub - Core
181431200004,,,Yes,,1,Yes,PL Pub - Gold
102363300004,,,Yes,,1,Yes,PL Pub - Core
185357100004,,,No,,1,No,PL Pub - Core
180819200004,,,No,,1,Yes,PL Pub - Core
100858400004,,,No,,1,No,PL Pub - Core
185875500004,,,Yes,,1,Yes,PL Pub - Core
102404200004,,,Yes,,1,Yes,PL Pub - Core
180843500004,,,No,,1,Yes,PL Pub - Core
186448700004,,,No,,1,No,PL Pub - Upweighted
104968100004,,,No,,1,No,PL Pub - Core
134843200004,,,No,,1,No,PL Pub - Upweighted
101443300004,,,No,,1,Yes,PL Pub - Core
100997700004,,,No,,1,No,PL Pub - Core
133431000004,restaurant,everyday traditional,Yes,,1,Yes,PL Pub - Core
181564300004,other sports club,everyday traditional,No,,1,Yes,PL Pub - Core
184212600004,,,No,,1,Yes,PL Pub - Core
101243800004,working men's club,everyday traditional,No,,1,Yes,PL Pub - Core
141678800004,local pub wet led,everyday traditional,Yes,,1,Yes,PL Pub - Core
181434700004,,,No,,1,Yes,PL Pub - Core
101249600004,,,No,,1,No,PL Pub - Core
102315200004,,,No,,1,No,PL Pub - Core
105981500004,,,No,,1,No,PL Pub - Core
119205000004,,,Yes,,1,Yes,PL Pub - Core
184318700004,hotel,everyday traditional,No,,1,Yes,PL Pub - Core
181514100004,local pub dry led,everyday traditional,Yes,,1,Yes,PL Pub - Core
182803300004,restaurant,bar and kitchen,No,,1,Yes,PL Pub - Core
182191800004,other sports club,everyday traditional,No,,1,Yes,PL Pub - Core
105529600004,,,No,,1,No,PL Pub - Core
183847500004,,,No,,1,Yes,PL Pub - Core
104093200004,other sports club,bar and kitchen,Yes,,1,Yes,PL Pub - Core
100137000004,,,No,,1,Yes,PL Pub - Core
105140300004,,,No,,1,Yes,PL Pub - Core
180126200004,,,No,,1,Yes,PL Pub - Core
180432700004,,,No,,1,No,PL Pub - Core
186005700004,,,Yes,,1,Yes,PL Pub - Core
180872000004,,,No,,1,Yes,PL Pub - Core
101840500004,,,No,,1,No,PL Pub - Core
183589800004,upmarket bar,everyday traditional,No,,1,Yes,PL Pub - Core
106290700004,,,Yes,,1,Yes,PL Pub - Core
185909500004,,,No,,1,Yes,PL Pub - Core
105378400004,,,Yes,,1,Yes,PL Pub - Core
103347400004,,,Yes,,1,Yes,PL Pub - Core
184174500004,,,No,,1,No,PL Pub - Core
103029500004,,,No,,1,Yes,PL Pub - Core
103041800004,other sports club,everyday traditional,No,,1,Yes,PL Pub - Core
105338800004,,,No,,1,No,PL Pub - Core
186354200004,,,No,,1,No,PL Pub - Core
100329700004,working men's club,everyday traditional,No,,1,Yes,PL Pub - Core
100644500004,,,No,,1,No,PL Pub - Core
105288900004,golf club,bar and kitchen,No,,1,No,PL Pub - Core
186390500004,,,No,,1,No,PL Pub - Core
186322000004,,,No,,1,No,PL Pub - Core
183478400029,,,No,,1,No,PL Pub - Core
183478400004,,,Yes,,1,No,PL Pub - Core
